X,Y,KnKod,KnNamn
364281.024738759,6323332.90887324,1382,Falkenberg
344142.576274493,6339563.16525168,1383,Varberg
334185.439743938,6371352.90954137,1384,Kungsbacka
338928.898197002,6395072.19654889,1401,Härryda
329649.643964127,6401679.91656745,1402,Partille
302130.916208109,6402039.89829297,1407,Öckerö
319761.371316401,6440119.31733788,1415,Stenungsund
304295.263314741,6434917.84608211,1419,Tjörn
302077.594981905,6452655.76058189,1421,Orust
288842.906911394,6481469.48563161,1427,Sotenäs
306051.157441496,6501379.01810294,1430,Munkedal
294873.549970675,6511741.22390549,1435,Tanum
320629.096014443,6543650.22392161,1438,Dals-Ed
326028.978588183,6502427.0097873,1439,Färgelanda
335832.475739427,6428040.56093365,1440,Ale
340003.267984566,6415378.0333542,1441,Lerum
368166.847259361,6429933.79557084,1442,Vårgårda
355616.720858714,6401689.73456818,1443,Bollebygd
361792.610493549,6465868.15123699,1444,Grästorp
369225.047353758,6451862.53204026,1445,Essunga
467188.836557827,6496207.95065831,1446,Karlsborg
451305.845870807,6532276.64398058,1447,Gullspång
406046.152257022,6373297.45873402,1452,Tranemo
341850.367673952,6544755.01904326,1460,Bengtsfors
346543.758388533,6509191.55788327,1461,Mellerud
328904.464218986,6449202.85840937,1462,Lilla Edet
357003.308916299,6370855.17085407,1463,Mark
383455.022261378,6365678.69451126,1465,Svenljunga
389825.985115236,6432341.06057939,1466,Herrljunga
388603.793204262,6457328.56444504,1470,Vara
413074.788908564,6493393.56351973,1471,Götene
453841.531563787,6479621.05187484,1472,Tibro
448429.96172674,6501662.31543875,1473,Töreboda
318752.429481119,6400626.40600476,1480,Göteborg
328620.229280837,6388933.92597705,1481,Mölndal
317927.382054048,6423658.4628971,1482,Kungälv
296489.758102744,6475463.46813823,1484,Lysekil
323505.386412385,6466120.54486329,1485,Uddevalla
287038.541988169,6545160.26655635,1486,Strömstad
337717.408519061,6480299.9786799,1487,Vänersborg
344430.640043529,6454747.59979319,1488,Trollhättan
353565.71247368,6429159.57316233,1489,Alingsås
378872.744269082,6401477.05285958,1490,Borås
407954.233356136,6408113.02712483,1491,Ulricehamn
360534.930575515,6545449.15275395,1492,Åmål
433923.935424655,6508906.51590251,1493,Mariestad
385051.831530331,6487116.15626782,1494,Lidköping
409348.071941764,6471419.87119994,1495,Skara
436244.251043372,6477838.97461011,1496,Skövde
449862.053893568,6459408.2311341,1497,Hjo
436547.660477851,6443866.81954421,1498,Tidaholm
411816.20358346,6449242.69530097,1499,Falköping
397326.960150572,6606253.82613971,1715,Kil
341990.174882318,6632774.74288256,1730,Eda
388583.147442196,6716620.88624276,1737,Torsby
458194.380248223,6592644.03137244,1760,Storfors
415806.186843946,6577117.46676035,1761,Hammarö
415217.351366722,6633846.66469644,1762,Munkfors
414329.595460395,6614151.79852973,1763,Forshaga
388165.289733917,6583820.31741469,1764,Grums
336333.170800639,6591623.39412181,1765,Årjäng
391007.506257047,6640128.2311015,1766,Sunne
432066.295639131,6601934.38035006,1780,Karlstad
453091.719729734,6570587.20597627,1781,Kristinehamn
452791.784653114,6641966.70688627,1782,Filipstad
423848.720787026,6664817.89559199,1783,Hagfors
368249.196817732,6623999.72901238,1784,Arvika
383386.686245458,6560029.26501466,1785,Säffle
489014.112108084,6559455.97670591,1814,Lekeberg
471083.302307924,6532143.11615907,1860,Laxå
516300.014283007,6540412.39297146,1861,Hallsberg
467646.316414585,6556225.83919112,1862,Degerfors
481007.342068596,6623450.59578551,1863,Hällefors
498767.302974938,6647130.90072851,1864,Ljusnarsberg
515920.070892055,6566975.85105811,1880,Örebro
506368.217042152,6553559.01201606,1881,Kumla
495943.848767451,6524625.51134589,1882,Askersund
474093.725486,6582843.31628103,1883,Karlskoga
495678.350454162,6601122.43061945,1884,Nora
513022.075605083,6616224.26668456,1885,Lindesberg
540683.183007236,6629314.47720986,1904,Skinnskatteberg
563748.594830456,6627618.72237654,1907,Surahammar
560533.781955537,6588130.30013034,1960,Kungsör
568947.643157065,6606462.14873563,1961,Hallstahammar
552073.782736329,6658847.60082756,1962,Norberg
589539.017351389,6612475.49973542,1980,Västerås
580709.467924976,6650600.03959611,1981,Sala
549351.101995781,6648445.86807161,1982,Fagersta
548386.828164423,6608181.2088253,1983,Köping
545263.087657076,6584549.0040934,1984,Arboga
458453.515495537,6708031.41960434,2021,Vansbro
418787.303015529,6745732.38068333,2023,Malung
492336.82437726,6703077.37298539,2026,Gagnef
492813.61678789,6732585.29673385,2029,Leksand
517988.356918223,6786321.71884036,2031,Rättvik
484604.239571364,6799391.10360463,2034,Orsa
390234.287935846,6837464.64384684,2039,Älvdalen
524424.150191762,6660114.22800981,2061,Smedjebacken
468104.04314426,6781034.91495441,2062,Mora
546016.90984056,6735786.60511669,2080,Falun
522427.371487989,6703392.82377755,2081,Borlänge
540915.165321283,6697635.27570968,2082,Säter
564356.713798361,6695460.7783222,2083,Hedemora
576033.996270182,6677429.65850497,2084,Avesta
483634.760481431,6675301.33671852,2085,Ludvika
584363.831063624,6753068.2424894,2101,Ockelbo
579806.404765514,6707525.56756832,2104,Hofors
545619.88703446,6799899.47512676,2121,Ovanåker
609112.453624602,6880273.58021014,2132,Nordanstig
